"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.561877042E0,-3.773416568E-2,-2.382757920E-1,-6.895907933E-1,7.305714766E-1
1.571889042E0,-6.043970805E-2,-1.329308930E-1,-7.283712816E-1,7.428649302E-1
1.581902042E0,-8.397741884E-2,-7.880657986E-2,-7.142297906E-1,7.234548207E-1
1.591914042E0,7.481150631E-2,-6.089765467E-2,-4.822502804E-1,4.918034351E-1
1.601926042E0,2.803613094E-1,-3.548682489E-2,-1.783161038E-1,3.341532753E-1
1.611939042E0,2.626356944E-1,-7.196124449E-2,5.880954087E-2,2.785937738E-1
1.621951042E0,7.734554339E-2,-1.222564354E-1,1.489847159E-1,2.076665949E-1
1.631964042E0,-7.789868999E-2,-1.807393362E-1,1.982656342E-1,2.793638760E-1
1.641976042E0,-1.244798391E-1,-2.295720653E-1,2.576242286E-1,3.668362123E-1
1.651989042E0,-9.394052614E-2,-2.360667870E-1,2.264655858E-1,3.403513067E-1
1.662001042E0,-2.579170279E-3,-1.662921819E-1,1.311793596E-1,2.118201271E-1
1.672014042E0,1.091173033E-1,-2.424116738E-2,-2.070089757E-2,1.136782619E-1
1.682026042E0,2.195541404E-1,1.218825790E-1,-1.228903466E-1,2.795736413E-1
1.692039042E0,3.597976709E-1,2.383884971E-1,-1.817297083E-1,4.683045232E-1
1.702051042E0,3.768376268E-1,3.126433119E-1,-2.035199422E-1,5.302573001E-1
1.712063042E0,2.921964028E-1,3.655823945E-1,-1.818665332E-1,5.021002498E-1
1.722076042E0,2.344040947E-1,3.270004191E-1,-1.363009357E-1,4.247970089E-1
1.732088042E0,1.829428959E-1,2.351261893E-1,-9.576102018E-2,3.129258715E-1
1.742101042E0,1.697999266E-1,1.353368030E-1,-7.295629442E-2,2.290648079E-1
1.752113042E0,1.746120389E-1,5.993659168E-2,-6.461758018E-3,1.847255084E-1
1.762126042E0,7.710920624E-2,-1.436894774E-2,4.960894704E-2,9.280810295E-2
1.772138042E0,-6.582539566E-3,-8.489652805E-2,5.157244205E-3,8.530737055E-2
1.782151042E0,-4.142003115E-2,-8.248097017E-2,3.199596405E-3,9.235240570E-2
